uid,platform,component,componentgroup,createdBy.user.user_id,modifiedBy.user.user_id,updated, applications[0].id
config:component:aggregator:dco.db_post_install,  other, db_post_install,  DCO,138890,138890, 2017-12-14T17:36:37.582Z,200364
config:component:aggregator:compass_tools.cpt_billable,  eikon, CPT_Billable,  Compass Tools,138890,138890, 2018-01-24T14:48:08.444Z,205032
config:component:aggregator:core.ecb_core,  elektron, ecb_core,  Core,138890,138890, 2018-02-01T18:50:47.706Z,200049
config:component:aggregator:ecp.replication_monitoring,  content, Replication_Monitoring,  ECP,138890,138890, 2018-02-15T17:57:25.607Z,204121
config:component:aggregator:worldcheck_one_onprem.api,  risk, api,  WorldCheck_One_OnPrem,138890,138890, 2018-02-17T07:12:15.655Z,202680
config:component:aggregator:post_trade_services.rtns_support,  transactions, rtns_support,  Post_Trade_Services,138890,138890, 2018-02-22T17:40:50.444Z,202890
config:component:aggregator:post_trade_services.rtns,  transactions, rtns,  Post_Trade_Services,138890,138890, 2018-02-16T16:19:05.272Z,202890
config:component:aggregator:data_engine_platform.dep_services,  trta_onesource, DEP Services,  Data Engine Platform,127438,138890, 2018-03-05T12:20:58.167Z,202988
config:component:aggregator:ecp_derived_store.vap_dealsmna_screener,  content, VAP_DealsMnA_Screener,  ECP_Derived_Store,138890,138890, 2018-02-14T07:33:43.932Z,204618
config:component:aggregator:legalone.novajus_workflow_app,  legal, novajus_workflow_app,  LegalOne,138890,138890, 2018-03-05T08:45:27.808Z,202243
config:component:aggregator:dco.db_oracle_sw_grid,  other, db_oracle_sw_grid,  DCO,138890,138890, 2018-02-22T17:45:06.448Z,200364
config:component:aggregator:legalone.novajus_site,  legal, novajus_site,  LegalOne,138890,138890, 2018-03-05T08:52:53.356Z,202243
config:component:aggregator:eikon_analytics_platform.analyst,  eikon, Analyst,  Eikon_Analytics_Platform,138890,138890, 2018-03-05T12:45:21.476Z,202676
config:component:aggregator:content_quality_analytics.qms_core,  content, QMS_Core,  Content_Quality_Analytics,138890,138890, 2018-03-09T18:37:45.310Z,204187
config:component:aggregator:dco.networks,  eikon, NETWORKS,  DCO,127438,138890, 2018-03-05T12:29:27.658Z,204957
config:component:aggregator:compass_tools.hannu_gmi_gateway,  eikon, Hannu GMI Gateway,  Compass Tools,138890,138890, 2018-03-13T14:22:13.784Z,203773
config:component:aggregator:value_add.ficallout_config,  elektron, ficallout_config,  Value Add,138890,138890, 2018-03-19T12:43:03.197Z,202032
config:component:aggregator:gcms.toceditorui_sensu_mon,  legal, toceditorui_sensu_mon,  GCMS, , , 2018-03-27T08:26:18.985Z,202977
config:component:aggregator:ecp_derived_store.dap_loans,  content, DAP_LOANS,  ECP_Derived_Store, , , 2018-03-27T08:02:33.946Z,204618
config:component:aggregator:ecp_derived_store.dap_muni,  content, DAP_MUNI,  ECP_Derived_Store, , , 2018-03-27T08:01:21.531Z,204618
